"구분","업체명","주요 기술(Stack)","담당 업무/프로젝트","계약 기간","투입 인력(MM)","기술 등급(A/B/C)","리스크(Top/Mid/Low)","최근 이슈 및 평가 비고"
"SM","(예시) 대림정보","Java, Oracle, JSP","전사 ERP/HRM 운영","2026.01.01 ~ 2026.12.31","12.5","A","Low","장기 근속자가 많아 업무 이해도가 높음. 운영 안정적."
"SI","(예시) 넥스트웹","React, Node.js","대외 고객용 포털 리뉴얼","2026.01.01 ~ 2026.06.30","4.0","B","Middle","초급 개발자 비중이 다소 높음. PL급 리딩 역량 확인 필요."
"DX","(예시) AI랩스","Python, TensorFlow","수요 예측 모델 PoC","2026.03.01 ~ 2026.05.31","2.0","S","Low","기술력 우수하나 단가가 높음."
"Ext","(예시) 클라우드X","AWS, Azure","공공기관 클라우드 전환 사업","2026.02.01 ~ 2026.11.30","8.0","A","Low","컨소시엄 파트너로서 협업 경험 풍부."
"SM","","","","","","","",""
"SM","","","","","","","",""
"SI","","","","","","","",""
"SI","","","","","","","",""
"DX","","","","","","","",""
"Ext","","","","","","","",""
